utt_id,inicio,fin,duracion,F1,F2
spk_002_utt_0052,1.125,1.285,0.16,770.68,1399.75
spk_002_utt_0053,0.585,1.365,0.78,329.84,1650.46
spk_002_utt_0053,1.395,1.515,0.12,741.9,1407.29
spk_002_utt_0053,1.545,1.745,0.2,719.57,1359.44
spk_002_utt_0054,0.555,1.075,0.52,620.73,1458.98
spk_002_utt_0054,1.175,1.385,0.21,726.57,1367.84
spk_002_utt_0054,1.455,1.525,0.07,673.12,1354.94
spk_002_utt_0055,0.485,0.895,0.41,831.63,1415.56
spk_002_utt_0055,1.005,1.045,0.04,774.11,1761.58
spk_002_utt_0055,1.205,1.525,0.32,656.09,1414.86
spk_002_utt_0056,0.505,1.455,0.95,650.11,1340.54
spk_002_utt_0056,1.545,1.845,0.3,711.27,1398.49
spk_002_utt_0057,0.485,1.125,0.64,470.6,1295.35
spk_002_utt_0057,1.165,1.325,0.16,401.96,1004.39
spk_002_utt_0058,0.585,0.925,0.34,378.09,961.68
spk_002_utt_0058,1.095,1.515,0.42,335.3,2236.41
spk_002_utt_0059,0.685,1.315,0.63,403.56,2231.28
spk_002_utt_0060,0.6395,1.2995,0.66,403.57,840.56
spk_002_utt_0061,0.475,0.765,0.29,376.94,1802.91
spk_002_utt_0061,0.905,1.005,0.1,770.62,1504.8
spk_002_utt_0062,0.565,1.045,0.48,502.03,885.45
spk_002_utt_0062,1.105,1.185,0.08,658.51,1412.48
spk_002_utt_0063,0.555,0.805,0.25,530.43,983.17
spk_002_utt_0063,0.835,1.115,0.28,496.18,1024.24
spk_002_utt_0064,0.615,0.895,0.28,665.69,1294.72
spk_002_utt_0064,0.995,1.195,0.2,435.07,2006.46
spk_002_utt_0064,1.225,1.735,0.51,348.68,2375.4
spk_002_utt_0065,0.565,0.905,0.34,422.75,754.61
spk_002_utt_0065,1.025,1.095,0.07,434.46,1773.67
spk_002_utt_0065,1.125,1.495,0.37,357.47,2337.13
spk_002_utt_0065,1.555,1.625,0.07,437.84,2073.49
spk_002_utt_0066,0.505,1.005,0.5,515.08,1070.84
spk_002_utt_0066,1.065,1.175,0.11,772.54,1553.46
spk_002_utt_0066,1.255,1.685,0.43,505.84,877.26
spk_002_utt_0067,0.715,1.405,0.69,496.43,930.86
spk_002_utt_0068,0.665,1.185,0.52,378.14,1500.86
spk_002_utt_0068,1.395,1.845,0.45,477.78,837.05
spk_002_utt_0069,0.535,1.175,0.64,467.86,1954.31
spk_002_utt_0070,0.665,1.235,0.57,583.44,1442.78
spk_002_utt_0070,1.265,1.765,0.5,483.54,832.73
spk_002_utt_0071,0.495,0.635,0.14,380.27,817.64
spk_002_utt_0071,0.655,0.745,0.09,374.94,742.62
spk_002_utt_0071,0.825,0.975,0.15,619.11,1124.37
spk_002_utt_0071,1.125,1.515,0.39,482.97,837.37
spk_002_utt_0072,0.475,1.025,0.55,504.71,880.31
spk_002_utt_0073,0.525,0.915,0.39,791.96,1386.69
spk_002_utt_0073,1.175,1.675,0.5,481.53,873.86
spk_002_utt_0073,1.755,1.805,0.05,553.94,1356.71
spk_002_utt_0074,0.615,1.155,0.54,320.73,1503.27
spk_002_utt_0074,1.185,1.675,0.49,510.4,884.35
spk_002_utt_0075,0.545,0.945,0.4,771.49,1435.97
spk_002_utt_0075,1.015,1.095,0.08,590.47,1313.26
spk_002_utt_0075,1.125,1.595,0.47,481.17,831.45
spk_002_utt_0076,0.485,0.975,0.49,553.71,1369.11
spk_002_utt_0076,0.995,1.405,0.41,466.11,781.68
spk_002_utt_0077,0.485,1.005,0.52,490.47,1747.04
spk_002_utt_0077,1.065,1.575,0.51,318.18,1691.55
spk_002_utt_0078,0.535,0.945,0.41,670.39,1487.62
spk_002_utt_0078,1.045,1.245,0.2,333.72,2347.77
spk_002_utt_0079,0.485,0.785,0.3,328.45,2424.0
spk_002_utt_0080,0.685,0.905,0.22,309.34,2295.19
spk_002_utt_0080,0.945,1.525,0.58,304.87,1247.3
spk_002_utt_0081,0.495,0.795,0.3,403.25,1882.77
spk_002_utt_0081,0.855,0.995,0.14,488.42,2076.02
spk_002_utt_0081,1.225,1.405,0.18,343.39,2229.35
spk_002_utt_0081,1.465,1.935,0.47,294.99,1258.07
spk_002_utt_0082,0.525,1.035,0.51,479.92,1323.52
spk_002_utt_0082,1.115,1.825,0.71,427.92,1217.95
spk_002_utt_0083,0.535,1.005,0.47,456.0,1274.7
spk_002_utt_0083,1.035,1.075,0.04,864.36,1544.64
spk_002_utt_0083,1.125,1.185,0.06,527.93,926.13
spk_002_utt_0083,1.325,1.645,0.32,376.73,1605.62
spk_002_utt_0084,0.495,0.825,0.33,784.55,1500.98
spk_002_utt_0084,0.855,0.975,0.12,612.02,1425.88
spk_002_utt_0084,1.015,1.275,0.26,327.91,2182.04
spk_002_utt_0085,0.555,1.085,0.53,603.84,892.74
spk_002_utt_0085,1.185,1.575,0.39,345.19,1108.11
spk_002_utt_0086,0.755,1.245,0.49,384.8,1394.89
spk_002_utt_0086,1.275,1.515,0.24,264.73,2308.97
spk_002_utt_0087,0.525,1.005,0.48,842.07,1448.06
spk_002_utt_0087,1.085,1.255,0.17,673.81,1372.66
spk_002_utt_0088,0.465,0.765,0.3,329.9,2413.53
spk_002_utt_0089,0.505,0.855,0.35,489.15,2400.51
spk_002_utt_0090,0.505,0.735,0.23,302.26,1133.45
spk_002_utt_0090,0.855,1.195,0.34,462.94,2162.53
spk_002_utt_0091,0.775,1.705,0.93,337.74,1482.28
spk_002_utt_0092,0.655,0.905,0.25,396.07,752.33
spk_002_utt_0092,0.925,1.205,0.28,373.74,922.58
spk_002_utt_0093,0.555,0.895,0.34,341.92,2314.95
spk_002_utt_0094,0.495,0.955,0.46,484.22,841.65
spk_002_utt_0094,1.055,1.415,0.36,358.93,1930.33
spk_002_utt_0094,1.485,1.575,0.09,351.48,2252.31
spk_002_utt_0094,1.595,1.635,0.04,389.72,2313.34
spk_002_utt_0095,0.545,0.955,0.41,526.54,880.37
spk_002_utt_0096,0.505,1.115,0.61,821.86,1389.59
spk_002_utt_0097,0.515,1.125,0.61,382.02,804.09
spk_002_utt_0098,0.505,0.785,0.28,527.24,1300.03
spk_002_utt_0098,0.805,0.865,0.06,849.46,1364.39
spk_002_utt_0098,0.965,1.065,0.1,773.97,1501.39
spk_002_utt_0099,0.525,0.915,0.39,569.09,1093.73
spk_002_utt_0099,0.945,1.255,0.31,490.96,1080.05
spk_002_utt_0100,0.565,0.975,0.41,583.62,2118.98
spk_002_utt_0100,0.995,1.045,0.05,467.87,2119.99
spk_002_utt_0100,1.085,1.145,0.06,549.49,1893.76
spk_002_utt_0100,1.285,1.505,0.22,358.4,2290.85
spk_002_utt_0101,0.725,1.445,0.72,382.27,873.01
spk_002_utt_0102,0.545,1.125,0.58,811.43,1363.05
spk_002_utt_0103,0.505,0.765,0.26,488.02,1123.14
spk_002_utt_0103,0.885,1.165,0.28,360.47,2055.29
spk_002_utt_0104,0.515,0.715,0.2,283.44,2316.1
spk_002_utt_0104,1.545,1.655,0.11,663.49,1459.26
spk_002_utt_0104,1.795,2.175,0.38,525.12,1271.77
spk_002_utt_0105,0.515,0.825,0.31,340.69,721.22
spk_002_utt_0105,1.135,1.325,0.19,278.34,2258.41
spk_002_utt_0105,1.405,1.545,0.14,390.03,2026.45
spk_002_utt_0106,0.505,0.715,0.21,330.71,697.04
spk_002_utt_0106,0.825,0.915,0.09,511.03,1732.25
spk_002_utt_0106,1.015,1.545,0.53,845.63,1674.95
spk_002_utt_0107,0.505,0.565,0.06,335.04,976.54
spk_002_utt_0107,0.605,0.715,0.11,316.03,893.83
spk_002_utt_0107,0.825,0.925,0.1,601.87,1486.13
spk_002_utt_0107,1.055,1.315,0.26,662.45,1385.63
spk_002_utt_0108,0.495,0.685,0.19,327.32,771.93
spk_002_utt_0108,0.705,0.835,0.13,354.67,1182.58
spk_002_utt_0108,1.155,1.545,0.39,419.08,1863.05
spk_002_utt_0108,1.635,1.805,0.17,756.62,1387.47
spk_002_utt_0109,0.525,0.745,0.22,358.83,750.18
spk_002_utt_0109,0.865,1.165,0.3,321.42,1853.47
spk_002_utt_0110,0.515,1.215,0.7,344.88,2101.85
spk_002_utt_0110,1.335,1.465,0.13,457.06,2008.04
spk_002_utt_0111,0.525,0.725,0.2,512.11,1849.84
spk_002_utt_0111,0.825,1.105,0.28,423.52,1996.94
spk_002_utt_0111,1.195,1.395,0.2,746.18,1175.36
spk_002_utt_0111,1.525,1.925,0.4,484.9,1577.76
spk_002_utt_0111,2.005,2.105,0.1,353.38,1964.37
spk_002_utt_0112,0.505,0.555,0.05,228.41,715.57
spk_002_utt_0112,0.585,0.745,0.16,707.02,1260.69
spk_002_utt_0112,1.025,1.665,0.64,271.91,1801.73
spk_002_utt_0112,1.845,2.265,0.42,408.53,610.86
spk_002_utt_0112,2.305,2.585,0.28,326.64,1984.71
spk_002_utt_0113,0.585,1.015,0.43,379.71,652.2
spk_002_utt_0113,1.085,1.895,0.81,539.57,1558.16
spk_002_utt_0114,0.525,0.965,0.44,291.05,993.31
spk_002_utt_0114,1.055,1.895,0.84,537.75,1667.29
spk_002_utt_0115,0.585,0.905,0.32,252.52,1402.55
spk_002_utt_0115,0.955,1.045,0.09,699.65,1285.36
spk_002_utt_0115,1.175,1.225,0.05,249.85,2353.72
spk_002_utt_0116,0.515,0.735,0.22,458.49,1164.97
spk_002_utt_0117,0.535,0.715,0.18,257.37,1891.87
spk_002_utt_0117,0.895,1.415,0.52,252.73,2309.1
spk_002_utt_0117,1.485,1.545,0.06,743.58,1475.13
spk_002_utt_0118,0.625,0.745,0.12,615.11,1519.2
spk_002_utt_0118,0.875,1.125,0.25,226.28,1496.33
spk_002_utt_0118,1.205,1.865,0.66,404.61,1900.59
spk_002_utt_0119,0.575,0.805,0.23,256.39,1621.27
spk_002_utt_0119,0.895,1.145,0.25,226.79,1511.01
spk_002_utt_0120,0.565,1.095,0.53,647.11,1428.07
spk_002_utt_0120,1.195,1.285,0.09,727.05,1288.12
spk_002_utt_0120,1.395,1.475,0.08,716.74,1442.48
spk_002_utt_0120,1.725,2.165,0.44,433.51,1170.34
spk_002_utt_0121,0.545,0.775,0.23,274.67,2173.03
spk_002_utt_0121,1.045,1.295,0.25,255.57,2272.96
spk_002_utt_0121,1.335,1.755,0.42,503.91,1422.48
spk_002_utt_0121,1.875,2.015,0.14,344.05,2053.95
spk_002_utt_0122,0.535,1.215,0.68,272.33,2218.31
spk_002_utt_0123,0.555,1.175,0.62,324.98,1882.5
spk_002_utt_0124,0.575,0.795,0.22,391.53,1705.56
spk_002_utt_0124,0.945,1.015,0.07,666.13,2257.47
spk_002_utt_0124,1.135,1.775,0.64,485.05,1408.21
spk_002_utt_0125,0.575,0.795,0.22,391.53,1705.56
spk_002_utt_0125,0.945,1.015,0.07,666.13,2257.47
spk_002_utt_0125,1.135,1.775,0.64,485.05,1408.21
spk_002_utt_0126,0.535,0.595,0.06,664.82,1397.78
spk_002_utt_0126,0.635,0.825,0.19,230.77,1494.17
spk_002_utt_0126,0.935,1.345,0.41,475.48,2083.14
spk_002_utt_0127,0.5295,0.7495,0.22,263.81,2032.91
spk_002_utt_0127,0.9795,1.1995,0.22,440.35,1492.55
spk_002_utt_0127,1.2995,1.9195,0.62,323.64,1928.89
spk_002_utt_0128,0.515,1.185,0.67,693.52,1248.65
spk_002_utt_0129,0.485,0.865,0.38,260.21,2006.02
spk_002_utt_0129,0.975,1.245,0.27,438.72,1563.47
spk_002_utt_0130,0.625,0.745,0.12,452.43,899.11
spk_002_utt_0130,0.885,1.065,0.18,733.05,1036.46
spk_002_utt_0130,1.085,1.325,0.24,203.04,1513.37
spk_002_utt_0130,1.465,2.015,0.55,400.43,2005.03
spk_002_utt_0131,0.625,0.725,0.1,469.62,917.87
spk_002_utt_0131,0.855,0.935,0.08,641.88,1369.54
spk_002_utt_0131,1.065,1.305,0.24,302.85,1894.84
spk_002_utt_0131,1.415,2.085,0.67,370.74,2038.53
spk_002_utt_0132,0.485,0.735,0.25,256.26,1664.01
spk_002_utt_0132,0.965,1.055,0.09,419.65,958.85
spk_002_utt_0132,1.185,1.545,0.36,576.42,1461.69
spk_002_utt_0132,1.855,2.565,0.71,361.54,2092.39
spk_002_utt_0133,0.565,0.755,0.19,296.33,1093.63
spk_002_utt_0133,0.875,1.015,0.14,619.5,1649.46
spk_002_utt_0133,1.205,1.305,0.1,560.35,1622.8
spk_002_utt_0133,1.405,1.505,0.1,370.16,957.55
spk_002_utt_0133,1.605,1.715,0.11,302.9,2290.17
spk_002_utt_0134,0.515,0.745,0.23,263.58,2045.37
spk_002_utt_0134,0.975,1.185,0.21,432.5,1498.46
spk_002_utt_0134,1.295,1.535,0.24,237.21,2455.85
spk_002_utt_0134,1.645,1.825,0.18,501.62,885.36
spk_002_utt_0135,0.515,0.985,0.47,431.88,1963.09
spk_002_utt_0135,1.665,2.145,0.48,293.46,2381.9
spk_002_utt_0135,2.275,2.355,0.08,701.94,1588.1
spk_002_utt_0136,0.535,0.845,0.31,446.39,2056.67
spk_002_utt_0136,1.495,1.905,0.41,329.59,2484.44
spk_002_utt_0136,2.035,2.085,0.05,453.52,1279.76
spk_002_utt_0137,0.215,0.465,0.25,362.84,1834.69
spk_002_utt_0137,0.615,0.995,0.38,468.01,1131.88
spk_002_utt_0138,0.185,0.475,0.29,473.6,2092.59
spk_002_utt_0138,0.665,0.885,0.22,412.13,2218.17
spk_002_utt_0138,1.075,1.145,0.07,532.11,922.54
spk_002_utt_0138,1.195,1.245,0.05,650.44,2441.78
spk_002_utt_0139,0.235,0.575,0.34,259.87,1595.96
spk_002_utt_0139,0.685,0.815,0.13,354.42,2482.66
spk_002_utt_0139,0.975,1.235,0.26,418.52,1561.48
spk_002_utt_0140,0.165,0.325,0.16,792.74,1605.02
spk_002_utt_0140,0.425,0.675,0.25,494.07,2151.62
spk_002_utt_0140,0.725,0.875,0.15,467.9,1523.84
spk_002_utt_0141,0.175,0.295,0.12,371.0,998.59
spk_002_utt_0141,0.445,0.575,0.13,349.41,2452.81
spk_002_utt_0141,0.695,0.885,0.19,458.76,1544.84
spk_002_utt_0142,0.175,0.655,0.48,349.45,1842.0
spk_002_utt_0142,0.745,0.895,0.15,597.41,995.71
spk_002_utt_0142,1.195,1.335,0.14,885.24,1588.17
spk_002_utt_0142,1.465,1.595,0.13,344.24,2470.77
spk_002_utt_0142,1.645,1.835,0.19,590.9,1572.3
spk_002_utt_0142,1.875,1.915,0.04,460.42,2086.18
spk_002_utt_0142,1.965,2.015,0.05,417.89,2076.5
spk_002_utt_0143,0.1995,0.2795,0.08,933.79,1542.89
spk_002_utt_0143,0.4395,0.9895,0.55,616.56,1560.5
spk_002_utt_0144,0.076,0.406,0.33,387.39,1955.55
spk_002_utt_0144,0.486,0.556,0.07,656.32,1689.13
spk_002_utt_0144,0.816,1.056,0.24,412.03,1935.18
spk_002_utt_0144,1.196,1.536,0.34,396.21,2000.67
spk_002_utt_0145,0.205,0.485,0.28,444.87,2041.09
spk_002_utt_0145,0.665,1.295,0.63,470.4,1312.33
spk_002_utt_0146,0.115,0.225,0.11,309.7,986.59
spk_002_utt_0146,0.325,0.635,0.31,786.03,1557.8
spk_002_utt_0147,0.165,0.545,0.38,477.05,2129.24
spk_002_utt_0147,1.105,1.365,0.26,851.12,1461.57
spk_002_utt_0147,1.495,1.775,0.28,441.53,922.02
spk_002_utt_0148,0.205,0.425,0.22,731.96,1509.41
spk_002_utt_0148,0.505,0.665,0.16,329.15,2542.35
spk_002_utt_0148,0.795,1.035,0.24,475.77,1527.85
spk_002_utt_0149,0.195,0.615,0.42,464.04,2123.04
spk_002_utt_0149,0.865,1.145,0.28,871.67,1441.64
spk_002_utt_0149,1.265,1.445,0.18,527.51,900.78
spk_002_utt_0150,0.175,0.515,0.34,356.58,2101.55
spk_002_utt_0150,0.635,0.765,0.13,360.23,2393.96
spk_002_utt_0150,0.795,1.185,0.39,456.65,1307.01
spk_002_utt_0151,0.205,0.485,0.28,313.7,1850.5
spk_002_utt_0151,0.535,0.655,0.12,376.36,2482.8
spk_002_utt_0151,0.745,0.985,0.24,582.8,1574.09
spk_002_utt_0151,1.155,1.415,0.26,356.86,2001.8
spk_002_utt_0151,1.535,1.865,0.33,441.64,902.01
spk_002_utt_0152,0.175,0.565,0.39,476.43,2087.42
spk_002_utt_0153,0.215,0.505,0.29,594.12,1021.92
spk_002_utt_0153,0.635,0.715,0.08,605.56,1677.76
spk_002_utt_0153,0.825,0.975,0.15,535.86,1057.9
spk_002_utt_0154,0.18,0.32,0.14,893.09,1544.7
spk_002_utt_0154,0.5,0.67,0.17,392.74,2415.29
spk_002_utt_0154,0.76,0.98,0.22,343.0,1698.71
spk_002_utt_0154,1.02,1.09,0.07,427.16,2167.17
spk_002_utt_0155,0.525,0.825,0.3,453.37,1936.82
spk_002_utt_0155,0.985,1.135,0.15,559.75,1856.13
spk_002_utt_0155,1.245,1.345,0.1,418.41,1818.03
spk_002_utt_0155,1.365,1.555,0.19,438.46,2076.32
